id,obj,area,area%
"2001",Lh,141321.188832152,0.720216694578858
"2001",Ls,28681.570761522,0.146170197547145
"2001",Ls,248.616536861055,0.00126702713071838
"2001",,25968.997398553,0.132346080743255
"2002",Ls,156322.647248215,0.79666878844789
"2002",Lh,39897.7262808751,0.203331211552095
"2003",Ls,165665.975859397,0.844285294538158
"2003",Lh,30554.3976696942,0.155714705461837
"2004",Lm,112030.22997149,0.570940865907991
"2004",Lm,84190.143557602,0.429059134092004
"2005",Lm,4317.4008904417,0.0220028165923432
"2005",Lm,40395.2889626118,0.205866945598402
"2005",Lm,94809.5716546176,0.48317903971659
"2005",Lm,2385.11944330395,0.0121553098712776
"2005",Lm,3149.88509876413,0.0160527933063847
"2005",Lm,51163.1074793566,0.260743094915019
"2006",Lm,196220.373529093,1
"2007",Lh,23307.1594089729,0.118780527168435
"2007",Lt,172913.214120118,0.881219472831554
"2008",Lm,196220.373529093,1
"2009",Lh,26993.6630771588,0.137568095461589
"2009",Ls,128419.536545597,0.654465865271411
"2009",Lm,40807.1739063348,0.20796603926699
"2010",Lm,196220.373529093,1
"2011",Lm,91625.9747082965,0.466954440358924
"2011",Ls,104594.398820797,0.533045559641078
"2012",,188926.306794847,0.962827169253329
"2012",Lm,7294.06673424709,0.037172830746679
"2013",,98283.7897252488,0.500884734635757
"2013",Lm,47408.0530574679,0.241606170678494
"2013",Ls,557.635319255465,0.00284188287498488
"2013",Lm,1206.55271366291,0.00614896757132115
"2013",Lm,48764.3427134497,0.248518244239402
"2014",Ls,69531.3490831436,0.354353362153979
"2014",,60175.5358223045,0.306673230409392
"2014",Ls,66513.4886236469,0.338973407436641
"2015",Lh,153442.583875372,0.781991090505295
"2015",Lh,39539.9252736406,0.201507746430715
"2015",Ls,2760.82583045515,0.0140700263729027
"2015",Lh,477.03854962478,0.00243113669108398
"2016",Lh,430.491272559124,0.00219391730235035
"2016",Lm,195789.882256534,0.997806082697652
"2017",Lm,196220.373529093,1
"2018",Lm,196220.373529093,1
"2019",,196220.373529093,1
"2020",,196220.373529093,1
"2021",Ls,196220.373529093,1
"2022",Lh,152755.21432194,0.778488041657367
"2022",,43465.159207155,0.221511958342647
"2023",,1376.41248285526,0.00701462573992698
"2023",Lh,20434.7864856457,0.10414202214642
"2023",Lm,2686.52304525281,0.0136913562895368
"2023",Lm,171722.65151534,0.875151995824122
"2024",Lm,196096.422419485,0.999368306626989
"2024",Lm,123.951109606212,0.000631693373001525
"2025",Lh,113627.263687392,0.579079846010713
"2025",,13939.5482676879,0.071040269758844
"2025",Ls,68653.5615740128,0.349879884230441
"2026",Lm,893.66612044099,0.00455440026113542
"2026",Lm,195326.707408651,0.99544559973886
"2027",Lm,196220.373529093,1
"2028",,196220.373529093,1
"2029",,26395.2938088322,0.134518619723852
"2029",Ls,100091.09267525,0.5100953120977
"2029",Lm,69733.9870450139,0.355386068178465
"2030",Ls,65566.8461864787,0.334149023402799
"2030",,130653.527342609,0.665850976597178
"2031",Lm,70712.4748862925,0.360372746287777
"2031",Ls,15906.6501310317,0.0810652321415204
"2031",Lm,109601.248511767,0.558562021570698
"2032",Ls,130457.236733151,0.664850618653055
"2032",Lm,11576.818298344,0.058999063604512
"2032",Lh,54186.3184975992,0.27615031774244
"2033",,124413.686528125,0.634050808743765
"2033",Lm,14518.7328249339,0.073991974247166
"2033",Lh,57287.9541760325,0.291957217009062
"2034",,196220.373529093,1
"2035",Lm,80109.0459899528,0.40826059266509
"2035",Lm,116111.32753914,0.59173940733491
"2036",Lm,196220.373529093,1
"2037",Ls,32418.0180051427,0.165212293820938
"2037",Ls,125142.036765866,0.637762707893897
"2037",Ls,38660.3187580831,0.197024998285161
"2038",Lh,80584.8667846458,0.410685523298618
"2038",Lm,81597.2889383773,0.415845141209454
"2038",Ls,34038.2178060675,0.173469335491917
"2039",Lh,21796.4568900777,0.111081517673525
"2039",Lm,1098.22241386336,0.0055968826993418
"2039",Lm,173325.694225154,0.883321599627144
"2040",Lh,196220.373529093,1
"2041",Ls,9184.49737832772,0.0468070527700121
"2041",Lh,25267.9152709515,0.128773148356102
"2041",Ls,161767.960879819,0.824419798873915
"2042",Lm,196220.373529093,1
"2043",,196220.373529093,1
"2044",Lh,62746.0360625057,0.3197732984297
"2044",Ls,133474.337466583,0.680226701570277
"2045",Lm,4370.04828247577,0.0222711240625981
"2045",,56240.0829247348,0.286616939481039
"2045",Lm,58305.4807957101,0.297142848864598
"2045",Lm,2614.27297996506,0.0133231475047491
"2045",Lm,74690.4885462109,0.380645940087036
"2046",,81345.5493764256,0.414562198172377
"2046",Lm,2654.33666892162,0.0135273245136702
"2046",Lm,71668.0059372737,0.365242429459792
"2046",Lh,22624.438015724,0.115301166789235
"2046",Lm,17928.0435307464,0.091366881064918
"2047",Lm,137667.451794829,0.701596115218983
"2047",Lm,9437.19876040195,0.0480948975413236
"2047",Lm,46444.5939989461,0.236696083916383
"2047",Lm,2671.12897491753,0.0136129033233213
"2048",Lm,57675.1304646816,0.293930387693052
"2048",Lm,14738.3535406624,0.0751112296627913
"2048",Lm,62901.7591055607,0.320566911448849
"2048",Lm,60905.1304181838,0.310391471195287
"2049",,99610.6113303309,0.507646629851931
"2049",Ls,96609.7621987672,0.492353370148097
"2050",Ls,1085.31464405672,0.00553110069325095
"2050",,91273.9618917956,0.465160473656232
"2050",Ls,50808.9662979994,0.258938281403619
"2050",Ls,53052.1306952376,0.270370144246881
"3001",Ls,144406.715087584,0.73594149521978
"3001",Ls,51813.6584415071,0.264058504780213
"3002",Lh,196220.373529093,1
"3003",,71453.4223693179,0.364148844914536
"3003",Ll,65560.5622804474,0.334116998664907
"3003",Ls,59206.3888793312,0.301734156420576
"3004",Ll,95510.775890373,0.486752594404842
"3004",,100709.597638721,0.513247405595165
"3005",Ll,32323.8813240303,0.164732544040529
"3005",Ll,163896.49220506,0.83526745595946
"3006",Ll,16677.7410600932,0.0849949511365114
"3006",,179018.681476139,0.912334831783392
"3006",Ls,523.950992857762,0.00267021708008357
"3007",Ls,75118.2681779033,0.382826038024873
"3007",Ls,121102.105351189,0.617173961975125
"3008",Ls,97535.4201813482,0.497070810880334
"3008",Ls,2804.04218661967,0.0142902703536232
"3008",Ls,95880.911161124,0.488638918766038
"3009",Ll,538.564092028707,0.00274468997455484
"3009",Lh,8012.37013356461,0.0408335280860968
"3009",Ll,187669.439303501,0.956421781939354
"3010",Lh,70271.1958135266,0.358123851003208
"3010",,71462.5980269443,0.364195606917183
